time_ms,power_pct,weight_g,flow_gps,pressure_bar
147601,65.0,24.80,0.007,4.58
147721,65.0,24.80,0.005,4.86
147916,65.0,24.80,0.003,6.68
148111,65.0,24.80,0.002,7.14
148216,65.0,24.80,0.002,7.00
148321,65.0,24.80,0.001,6.78
148486,65.0,24.80,0.001,6.21
148621,65.0,25.00,0.371,7.43
148785,65.0,25.10,0.431,7.37
148936,65.0,25.20,0.489,6.29
149086,65.0,25.40,0.700,6.26
149191,65.0,25.50,0.763,6.95
149296,65.0,25.60,0.810,7.41
149506,65.0,25.80,0.872,7.11
149715,65.0,26.00,0.909,6.31
149896,65.0,26.20,0.958,6.94
150001,65.0,26.30,0.957,6.92
150211,65.0,26.50,0.955,6.35
150315,65.0,26.60,0.956,5.98
150495,65.0,26.90,1.231,5.45
150601,65.0,27.00,1.159,6.81
150705,65.0,27.10,1.110,6.67
150901,65.0,27.30,1.068,5.48
151020,65.0,27.40,1.011,5.48
151216,65.0,27.60,1.013,6.67
151335,65.0,27.70,0.970,6.52
151440,65.0,27.80,0.965,5.69
151620,65.0,28.00,1.030,5.67
151725,65.0,28.10,1.011,5.47
151831,65.0,28.10,0.758,7.15
152010,65.0,28.30,0.848,6.94
152116,65.0,28.40,0.872,6.65
152311,65.0,28.70,1.145,5.90
