timestamp_ms,pump_power_pct,pressure_bar,pressure_bar_raw
43280,0,5.050,4.559
43330,0,5.047,4.522
43380,0,5.045,4.526
43430,0,5.046,4.550
43480,0,5.046,4.540
43530,0,5.045,4.540
43580,0,5.046,4.550
43630,0,5.049,4.559
43680,0,5.046,4.522
43730,0,5.046,4.545
43780,0,5.047,4.550
43830,0,5.048,4.550
43880,0,5.047,4.545
43930,0,5.048,4.550
43980,0,5.047,4.540
44030,0,5.044,4.522
44080,0,5.045,4.545
44130,0,5.045,4.545
44180,0,5.046,4.550
44230,0,5.047,4.550
44280,0,5.050,4.559
44330,0,5.052,4.559
44380,0,5.052,4.555
44430,0,5.051,4.540
44480,0,5.050,4.540
44530,0,5.050,4.550
44580,0,5.050,4.550
44630,0,5.050,4.550
44680,0,5.049,4.545
44730,0,5.049,4.545
44780,0,5.049,4.545
44830,0,5.051,4.559
44880,0,5.050,4.545
44930,0,5.053,4.564
44980,0,5.053,4.550
45030,0,5.053,4.550
45080,0,5.051,4.540
45130,0,5.050,4.540
45180,0,5.047,4.522
45230,0,5.047,4.540
45280,0,5.049,4.559
45330,0,5.049,4.550
45380,0,5.050,4.550
45430,0,5.047,4.522
45480,0,5.044,4.522
45530,0,5.046,4.555
45580,0,5.047,4.550
45630,0,5.044,4.522
45680,0,5.044,4.536
45730,0,5.043,4.540
45780,0,5.043,4.540
45830,0,5.043,4.545
45880,0,5.046,4.555
45930,0,5.047,4.550
45980,0,5.054,4.578
46030,0,5.053,4.550
46080,0,5.051,4.526
46130,0,5.048,4.526
46180,0,5.048,4.550
46230,0,5.051,4.559
46280,0,5.053,4.559
46330,0,5.052,4.550
46380,0,5.056,4.569
46430,0,5.054,4.540
46480,0,5.051,4.526
46530,0,5.051,4.550
46580,0,5.055,4.569
46630,0,5.056,4.559
46680,0,5.059,4.569
46730,0,5.057,4.545
46780,0,5.056,4.545
46830,0,5.056,4.550
46880,0,5.055,4.550
46930,0,5.056,4.559
46980,0,5.054,4.540
47030,0,5.053,4.540
47080,0,5.052,4.540
47130,0,5.048,4.522
47180,0,5.049,4.550
47230,0,5.046,4.522
47280,0,5.045,4.540
47330,0,5.054,4.583
47380,0,5.055,4.559
47430,0,5.055,4.555
47480,0,5.054,4.545
47530,0,5.057,4.569
47580,0,5.055,4.540
47630,0,5.054,4.540
47680,0,5.050,4.522
47730,0,5.049,4.540
47780,0,5.051,4.555
47830,0,5.046,4.508
47880,0,5.044,4.522
47930,0,5.041,4.522
47980,0,5.041,4.540
48030,0,5.043,4.550
48080,0,5.043,4.540
48130,0,5.049,4.569
48180,0,5.052,4.564
48230,0,5.051,4.545
48280,0,5.051,4.550
48330,0,5.049,4.526
48380,0,5.049,4.550
48430,0,5.046,4.526
48480,0,5.044,4.526
48530,0,5.047,4.555
48580,0,5.047,4.550
48630,0,5.051,4.564
48680,0,5.050,4.540
48730,0,5.049,4.545
48780,0,5.046,4.512
48830,0,5.045,4.540
48880,0,5.045,4.540
48930,0,5.045,4.545
48980,0,5.050,4.569
49030,0,5.050,4.550
49080,0,5.049,4.540
49130,0,5.056,4.578
49180,0,5.055,4.550
49230,0,5.056,4.559
49280,0,5.059,4.569
49330,0,5.058,4.550
49380,0,5.060,4.569
49430,0,5.059,4.550
49480,0,5.058,4.550
49515,0,5.058,4.550
49530,0,5.057,4.545
49580,0,5.057,4.559
49630,0,5.057,4.550
49680,0,5.056,4.555
49730,0,5.056,4.550
49780,0,5.056,4.559
49830,0,5.057,4.559
49880,0,5.058,4.559
49930,0,5.060,4.569
49980,0,5.064,4.578
50030,0,5.063,4.550
50080,0,5.062,4.559
50130,0,5.060,4.540
50180,0,5.060,4.559
50230,0,5.060,4.559
50280,0,5.060,4.559
50330,0,5.059,4.550
50380,50,5.174,5.070
50430,50,5.485,6.055
50480,50,5.486,4.991
50530,50,5.458,4.719
50580,50,5.569,5.450
50630,50,5.646,5.413
50680,50,5.595,4.662
50730,50,6.022,6.993
50780,50,5.912,4.475
50830,50,5.863,4.944
50880,50,6.191,6.819
50930,50,6.082,4.653
50980,50,6.013,4.925
51030,50,6.171,6.214
51080,50,6.254,6.041
51130,50,6.175,5.005
51180,50,6.055,4.526
51230,50,6.009,5.122
51280,50,5.992,5.347
51330,50,5.919,4.798
51380,50,6.232,6.810
51430,50,6.107,4.540
51480,50,6.032,4.897
51530,50,6.242,6.463
51580,50,6.390,6.402
51630,50,6.290,4.939
51680,50,6.216,5.084
51730,50,6.218,5.722
51780,50,6.123,4.822
